Barrio,Código distrito,Código barrio,Personas,Superficie (hm²),Densidad de población (p / hm²),Porcentaje +65 años,Edad media,Índice de envejecimiento,Índice de sobreenvejecimiento,Índice de estructura de la población activa,Porcentaje de población extranjera,Tasa bruta de natalidad,Tasa bruta de mortalidad,Tasa bruta de emigración intraurbana,Tasa bruta de emigración interurbana,Tasa general de fecundidad,Período de mayor construcción de inmuebles,Sup. construida media (m²),Valor catastral máxima frecuencia (miles euros),Valor por m²,Coeficiente derecha - izquierda,Cluster
LA SEU,1,1,3151.0,22.107,142.534038992174,19.612821326562997,44.6,176.6,16.2,123.2,26.1,40.0,106.5,11.8,58.5,50.2,1850.0,124.265810746553,80.0,498.042501731521,1.3481012658227849,1
LA XEREA,1,2,4002.0,31.165,128.413284132841,23.68815592203898,46.2,189.6,17.7,123.1,17.5,40.0,84.4,14.6,53.5,36.2,1970.0,149.418803418803,80.0,559.042185477734,3.737945492662474,3
EL CARME,1,3,6896.0,38.407,179.550602754706,18.793503480278424,44.6,165.7,19.9,124.5,24.6,52.8,98.4,11.2,54.6,50.2,1970.0,96.9344302554027,42.0,385.43237924893,0.6947643979057592,1
EL PILAR,1,4,4921.0,16.161,304.498484004703,16.602316602316602,42.9,131.8,18.6,115.2,27.5,54.6,126.2,11.8,56.7,62.5,2005.0,106.484837673921,80.0,414.454048720672,0.8840579710144928,1
EL MERCAT,1,5,3936.0,17.279,227.790960125007,17.352642276422763,43.0,152.5,13.2,107.5,27.2,40.5,117.7,7.0,59.1,40.7,1850.0,110.176146156498,80.0,496.671703548891,1.2031063321385902,1
SANT FRANCESC,1,6,5857.0,43.866,133.520266265445,24.944510841727848,46.1,213.9,17.6,109.2,19.3,45.7,89.7,12.1,48.6,36.0,1970.0,149.385929871283,80.0,670.846317949053,3.9104704097116842,3
RUSSAFA,2,1,24432.0,87.77,278.363905662527,20.677799607072693,44.9,157.5,18.9,130.7,16.5,51.7,73.6,9.5,49.9,33.4,1930.0,107.600778156048,42.0,450.983325245636,1.1534464842396952,1
EL PLA DEL REMEI,2,2,7094.0,38.692,183.345394396775,26.430786580208625,46.5,182.0,19.5,132.2,9.4,33.0,58.0,8.9,40.4,29.6,1970.0,175.48665879575,80.0,804.697259447837,7.140319715808171,3
LA GRAN VIA,2,3,12039.0,46.857,256.930661373968,24.802724478777307,46.1,171.2,19.8,141.5,10.9,37.0,50.3,11.6,45.5,20.7,1930.0,138.781660054928,80.0,592.42883017893,3.114949037372593,3
EL BOTANIC,3,1,6639.0,37.011,179.379103509767,20.22895014309384,44.9,160.3,18.7,133.9,18.6,40.8,74.8,9.1,55.7,37.3,1850.0,106.243107769424,80.0,450.948112761703,1.108343711083437,1
LA ROQUETA,3,2,4726.0,23.057,204.970291017912,20.545916208209903,45.0,181.5,19.8,111.4,26.7,48.8,109.8,9.5,61.3,41.4,1930.0,110.307335190344,80.0,498.567885820265,1.520501138952164,1
LA PETXINA,3,3,15095.0,49.664,303.942493556701,23.0804902285525,45.6,165.1,21.0,135.1,11.9,45.5,57.1,12.3,43.4,32.9,1950.0,116.153894551403,80.0,484.854766849931,1.3707709373266777,3
ARRANCAPINS,3,4,22875.0,87.437,261.616935622219,24.909289617486337,46.4,193.9,18.0,130.0,12.6,39.0,60.7,10.0,43.7,28.7,1950.0,120.907672613809,80.0,532.134686734272,1.694467213114754,3
