barrio,dummyValue,dummyValue2
L'AMISTAT,45268,12345
EL GRAU,73612,23456
RAFALELL-VISTABELLA,27894,34567
LA CARRASCA,58103,45678
BENIFERRI,84735,56789
EL SALER,62410,67890
CARPESA,36987,78901
SANT ANTONI,50529,89012
MARXALENES,91025,90123
EL CALVARI,29476,01234
LES TENDETES,67231,12345
EXPOSICIO,14356,23456
LA VEGA BAIXA,82157,34567
EL PILAR,57148,45678
CAMI FONDO,39673,56789
RUSSAFA,63490,67890
SAFRANAR,54527,78901
EN CORTS,91748,89012
LES CASES DE BARCENA,28704,90123
MAHUELLA-TAULADELLA,80129,01234
MASSARROJOS,60413,12345
SANT PAU,73982,23456
JAUME ROIG,55902,34567
SANT MARCEL.LI,38046,45678
LA CREU COBERTA,67589,56789
CAMI REAL,12983,67890
LA PUNTA,80421,78901
BENIMAMET,72516,89012
SANT LLORENS,36299,90123
CIUTAT FALLERA,84075,01234
NOU MOLES,27536,12345
LA LLUM,54012,23456
LA MALVA-ROSA,94638,34567
MORVEDRE,52813,45678
CAMPANAR,28745,56789
EL CARME,69512,67890
CIUTAT UNIVERSITARIA,46502,78901
BETERO,20658,89012
MESTALLA,81473,90123
LA XEREA,48751,01234
ALBORS,70649,12345
ARRANCAPINS,60734,23456
LA ROQUETA,41235,34567
LA GRAN VIA,55029,45678
LA CREU DEL GRAU,36471,56789
SANT ISIDRE,88214,67890
MALILLA,30692,78901
BENICALAP,54187,89012
LA PETXINA,77630,90123
PENYA-ROJA,94208,01234
FAITANAR,56192,12345
PINEDO,17945,23456
CASTELLAR-L'OLIVERAL,69758,34567
EL FORN D'ALCEDO,57863,45678
AIORA,70354,56789
NA ROVELLA,37843,67890
FAVARA,50020,78901
L'HORT DE SENABRE,49837,89012
NATZARET,60251,90123
LA FONTETA S.LLUIS,87396,01234
CIUTAT JARDI,58247,12345
CAMI DE VERA,62495,23456
EL PALMAR,64730,34567
EL PERELLONET,96214,45678
VARA DE QUART,35601,56789
SOTERNES,19026,67890
LA FONTSANTA,84350,78901
EL BOTANIC,56249,89012
BORBOTO,41573,90123
BENIFARAIG,58923,01234
TORREFIEL,69741,12345
TORMOS,68349,23456
BENIMACLET,27086,34567
TRINITAT,58321,45678
CABANYAL-CANYAMELAR,96401,56789
EL MERCAT,61947,67890
EL PLA DEL REMEI,89013,78901
L'ILLA PERDUDA,70148,89012
TRES FORQUES,62583,90123
PATRAIX,57106,01234
LA RAIOSA,81253,12345
POBLE NOU,45218,23456
CIUTAT DE LES ARTS I DE LES CIENCIES,19245,34567
LA TORRE,73694,45678
SANT FRANCESC,34891,56789
ELS ORRIOLS,69348,67890
LA SEU,79412,78901
MONTOLIVET,85749,89012
