Distrito,Código distrito,Personas,Superficie (hm²),Densidad de población (p / hm²),Porcentaje +65 años,Edad media,Índice de envejecimiento,Índice de sobreenvejecimiento,Índice de estructura de la población activa,Porcentaje de población extranjera,Tasa bruta de natalidad,Tasa bruta de mortalidad,Tasa bruta de emigración intraurbana,Tasa bruta de emigración interurbana,Tasa general de fecundidad,Período de mayor construcción de inmuebles,Sup. construida media (m²),Valor catastral máxima frecuencia (miles euros),Valor por m²,Coeficiente derecha - izquierda,ClaseBoW
CIUTAT VELLA,1,28763.0,168.985,170.21037370180784,20.1656584082246,44.56666666666666,171.6833333333333,17.2,117.11666666666667,23.7,45.6,103.81666666666666,11.416666666666666,55.166666666666664,45.96666666666667,1935.8333333333333,122.77765968707679,73.66666666666667,504.08152277946687,1.9630743115426308,suburbano
L'EIXAMPLE,2,43565.0,173.319,251.35732377869712,23.97043688868621,45.833333333333336,170.23333333333332,19.400000000000002,134.79999999999998,12.266666666666666,40.56666666666667,60.633333333333326,10.0,45.26666666666667,27.900000000000002,1943.3333333333333,140.62303233557535,67.33333333333333,616.0364716241344,3.802905079140153,suburbano
EXTRAMURS,3,49335.0,197.16899999999998,250.21681907399238,22.191161549335646,45.475,175.2,19.375,127.6,17.45,43.525,75.6,10.225,51.025,35.074999999999996,1920.0,113.403002531245,80.0,491.62636304154273,1.4235207501192582,turístico
CAMPANAR,4,39846.0,523.778,76.07421464819065,23.489701781823364,45.4,183.2,14.625,137.125,19.175,43.7,63.375,7.925,43.525,38.125,1978.75,106.18361940369182,44.0,442.062998177079,1.1176085631654746,familiar
LA SAIDIA,5,47499.0,194.391,244.34773214809329,23.19893158662689,45.88,185.78,17.619999999999997,127.16,17.74,42.44,63.36,11.2,45.44,34.7,1970.0,100.43858958102741,32.4,372.3421844839546,0.958172754227219,turístico
EL PLA DEL REAL,6,30680.0,169.296,181.22105661090634,24.461369998473863,44.45,154.4,16.425,108.92500000000001,10.175,40.75,54.3,9.7,46.675,28.35,1975.0,138.11187772508376,73.5,638.134024297425,3.3886029654953385,suburbano
L'OLIVERETA,7,49584.0,198.88,249.3161705551086,21.06335957874321,44.82,165.14000000000001,18.880000000000003,126.75999999999999,21.94,44.760000000000005,75.26,11.28,39.68,48.12,1970.0,94.573561644398,26.4,339.0683170007518,0.9559867210832103,comercial
PATRAIX,8,58333.0,287.264,203.06408042775982,21.43292970497295,45.4,175.42000000000002,12.540000000000001,144.48000000000002,11.32,42.14,45.04,8.1,36.42,29.82,1970.0,109.470099222039,44.4,412.46372341947915,0.9450005597742374,suburbano
JESUS,9,52585.0,298.461,176.1871735335605,20.82437279119739,44.94,167.38,13.5,142.62,16.619999999999997,40.9,55.839999999999996,9.7,37.94,33.739999999999995,1970.0,102.07912636830467,40.2,362.40996876226,0.9542466689740958,turístico
QUATRE CARRERES,10,76572.0,1132.522,67.61193160044573,19.96600841558338,44.128571428571426,143.15714285714287,15.5,136.81428571428572,17.3,52.971428571428575,65.67142857142856,9.614285714285714,40.57142857142857,33.08571428571428,1977.857142857143,112.56458510132487,46.42857142857143,385.31645775525516,1.2396959465054906,suburbano
POBLATS MARITIMS,11,55897.0,396.66,140.91917511218676,20.475484369803358,44.54,156.56,15.419999999999998,132.18,18.04,38.34,63.739999999999995,11.1,43.08,35.14,1974.0,98.52874676477444,34.8,335.1064655808826,0.8301399071390947,suburbano
CAMINS AL GRAU,12,66245.0,236.721,279.8442047811559,19.226224083130894,43.739999999999995,143.26,14.7,132.18,17.8,39.980000000000004,61.660000000000004,8.040000000000001,45.059999999999995,32.839999999999996,1973.0,106.84778079541532,42.4,455.11157996281963,1.3301118433554433,universitario
ALGIROS,13,35819.0,295.919,121.04325845924055,25.658768888830103,46.72,245.98000000000002,14.3,112.74000000000001,13.420000000000002,31.28,57.919999999999995,10.120000000000001,38.760000000000005,34.739999999999995,1974.0,111.46354120776093,48.6,434.5744506964368,1.0186821889922395,familiar
BENIMACLET,14,28317.0,157.029,180.3297480083297,23.941019823424778,45.85,209.14999999999998,12.1,116.35,11.1,33.9,51.85,7.65,37.7,34.7,1970.0,112.521176265636,42.0,421.983773870142,0.8384764610438884,suburbano
RASCANYA,15,54605.0,262.871,207.7254622989984,17.04918147244413,42.23333333333333,111.8,14.0,136.5666666666667,19.0,49.166666666666664,65.03333333333333,7.733333333333333,46.5,34.9,1981.6666666666667,102.65202836343207,38.666666666666664,399.98454620148067,1.0000633804827954,suburbano
BENICALAP,16,48706.0,221.586,219.80630545251051,18.918312514693252,43.2,131.55,13.25,129.15,18.95,44.05,62.550000000000004,8.25,41.2,36.099999999999994,1970.0,96.41061376826045,31.5,365.884949145886,0.8564983152801312,familiar
POBLATS DEL NORD,17,6875.0,1317.173,5.2195117877454225,22.92054519810043,46.75714285714286,191.97142857142856,20.25714285714286,188.82857142857142,9.1,308.90000000000003,39.128571428571426,8.114285714285714,17.514285714285712,30.25714285714286,1960.7142857142858,176.74437594832642,35.0,246.7993186318843,1.3116985765062483,familiar
POBLATS DE L'OEST,18,14758.0,201.113,73.38163122224819,17.93707185616551,42.45,112.75,10.25,141.6,13.15,15.85,61.449999999999996,6.85,33.4,36.0,1987.5,146.222117325817,61.0,344.4741089366205,1.2834371960664241,suburbano
POBLATS DEL SUD,19,21517.0,6617.643,3.251459772006438,20.847012370400464,44.7,151.2,13.475,148.2125,13.2,66.925,51.4375,7.925,36.5375,38.075,1975.625,129.42160762231137,39.375,324.95397864033487,1.2113060172951273,suburbano
