Distrito,Seguridad,Discriminacion,Extranjeros,Política,Empleados,Estudiantes,Desempleados,Ingresos Mes REL,AntRes_5y,Satisfaccion,Precariedad Econo,Prob Vivienda,Limpieza,Frec Acc Coche,Frec Prostitucion,Frec Peleas Jov,Frec Pres Drogas
1. Ciutat Vella,0.715789473684209,0.149122807017544,0.140350877192982,0.593814432989689,0.570175438596491,0.166666666666667,0.052631578947368404,0.2741228070175437,0.684210526315789,0.7912280701754371,0.149122807017544,0.09649122807017539,0.53157894736842,0.157894736842105,0.289473684210526,0.508771929824561,0.508771929824561
2. l'Eixample,0.741269841269842,0.150793650793651,0.0555555555555556,0.638938053097346,0.507936507936508,0.0873015873015873,0.055555555555555546,0.19087301587301614,0.857142857142857,0.796031746031747,0.119047619047619,0.0158730158730159,0.622222222222224,0.0714285714285714,0.11904761904761911,0.515873015873016,0.619047619047619
3. Extramurs,0.754198473282442,0.152671755725191,0.152671755725191,0.562037037037038,0.5343511450381679,0.061068702290076306,0.0534351145038168,0.2022900763358778,0.7786259541984729,0.8351145038167941,0.09160305343511449,0.0381679389312977,0.5862595419847321,0.175572519083969,0.08396946564885491,0.32824427480916,0.4198473282442745
4. Campanar,0.699152542372882,0.152542372881356,0.177966101694915,0.533707865168539,0.5169491525423731,0.0677966101694915,0.05932203389830503,0.09936440677966094,0.6949152542372881,0.845762711864406,0.161016949152542,0.11864406779660999,0.5991525423728821,0.11864406779660999,0.0932203389830509,0.35593220338983,0.635593220338983
5. la Saïdia,0.53515625,0.109375,0.2421875,0.516071428571429,0.4921875,0.0703125,0.078125,0.21,0.8046875,0.89609375,0.265625,0.03125,0.38203125,0.2421875,0.0390625,0.6953125,0.6328125
6. el Pla del Real,0.745299145299146,0.136752136752137,0.0,0.724137931034483,0.487179487179487,0.273504273504274,0.0341880341880342,0.2525641025641026,0.6495726495726499,0.747863247863248,0.0854700854700855,0.0,0.644444444444445,0.282051282051282,0.2478632478632474,0.786324786324786,0.6752136752136759
7. l'Olivereta,0.668461538461538,0.215384615384615,0.230769230769231,0.47610619469026505,0.507692307692308,0.046153846153846205,0.09230769230769229,0.2275,0.7769230769230769,0.845384615384614,0.184615384615385,0.0923076923076923,0.636923076923076,0.06923076923076919,0.0846153846153847,0.446153846153846,0.692307692307693
8. Patraix,0.734558823529412,0.139705882352941,0.308823529411765,0.521774193548387,0.470588235294118,0.0514705882352941,0.0955882352941177,0.3200367647058825,0.676470588235294,0.757352941176471,0.117647058823529,0.09558823529411759,0.503676470588235,0.088235294117647,0.3970588235294119,0.5147058823529409,0.74264705882353
9. Jesús,0.672932330827068,0.0676691729323308,0.218045112781955,0.500000000000001,0.48120300751879697,0.0676691729323308,0.0902255639097744,0.19793233082706793,0.81203007518797,0.8413533834586471,0.18045112781954897,0.075187969924812,0.642105263157895,0.12030075187969899,0.0601503759398496,0.44360902255639095,0.571428571428571
10. Quatre Carreres,0.700680272108842,0.163265306122449,0.19047619047619102,0.46206896551724,0.517006802721088,0.0680272108843537,0.10204081632653059,0.3093537414965983,0.8027210884353739,0.8163265306122429,0.204081632653061,0.102040816326531,0.491836734693876,0.0952380952380953,0.09523809523809527,0.571428571428571,0.7346938775510199
11. Poblats Marítims,0.566417910447762,0.141791044776119,0.186567164179104,0.5740000000000001,0.470149253731343,0.08208955223880601,0.10447761194029848,0.030970149253731368,0.888059701492537,0.8082089552238809,0.171641791044776,0.059701492537313404,0.608955223880598,0.052238805970149196,0.126865671641791,0.5970149253731349,0.746268656716418
12. Camins al Grau,0.67142857142857,0.114285714285714,0.178571428571429,0.440178571428571,0.485714285714286,0.0571428571428571,0.0642857142857143,0.14499999999999982,0.7571428571428569,0.8442857142857131,0.2,0.107142857142857,0.602142857142856,0.157142857142857,0.0571428571428571,0.435714285714285,0.664285714285714
13. Algirós,0.681355932203388,0.101694915254237,0.05932203389830511,0.604347826086955,0.508474576271186,0.254237288135593,0.0677966101694915,0.2277542372881359,0.64406779661017,0.785593220338981,0.161016949152542,0.016949152542372902,0.5889830508474561,0.24576271186440699,0.1271186440677967,0.542372881355932,0.533898305084746
14. Benimaclet,0.7263157894736849,0.10526315789473699,0.140350877192982,0.443396226415095,0.517543859649123,0.0701754385964912,0.061403508771929814,0.1513157894736844,0.6929824561403509,0.85,0.10526315789473699,0.149122807017544,0.652631578947369,0.0350877192982456,0.00877192982456141,0.324561403508772,0.7807017543859649
15. Rascanya,0.648091603053434,0.030303030303030297,0.28030303030303,0.605376344086022,0.560606060606061,0.045454545454545504,0.0833333333333333,0.38428030303030314,0.75,0.71076923076923,0.0151515151515152,0.060606060606060594,0.6204545454545449,0.0757575757575758,0.0909090909090909,0.560606060606061,0.666666666666667
16. Benicalap,0.585937500000001,0.125,0.234375,0.493103448275862,0.5234375,0.03125,0.078125,0.023828125,0.796875,0.8789062500000011,0.3515625,0.0234375,0.41015625,0.1953125,0.0234375,0.5390625,0.5625
17. Pobles del Nord,0.750537634408604,0.268817204301075,0.0537634408602151,0.47586206896551797,0.53763440860215,0.032258064516129,0.043010752688172,0.23387096774193525,0.795698924731183,0.812903225806453,0.0537634408602151,0.10752688172043,0.58709677419355,0.21505376344086,0.182795698924731,0.32258064516129,0.44086021505376294
18. Pobles de l'Oest,0.655769230769231,0.230769230769231,0.153846153846154,0.46349206349206395,0.509615384615385,0.0769230769230769,0.0769230769230769,0.175,0.692307692307692,0.881730769230769,0.307692307692308,0.0576923076923077,0.629807692307692,0.182692307692308,0.02884615384615382,0.49038461538461503,0.6730769230769229
19. Pobles del Sud,0.737168141592921,0.27433628318584097,0.141592920353982,0.511494252873564,0.48672566371681397,0.053097345132743404,0.08849557522123888,0.10575221238938043,0.849557522123894,0.9437500000000011,0.176991150442478,0.0973451327433628,0.8433628318584081,0.00884955752212389,0.0353982300884956,0.3008849557522127,0.3628318584070799
